                 pkg_name                 | pkg_size_mb | pkg_size  
 PackageKit-gstreamer-plugin              |           0 |     19008
 telepathy-mission-control-plugin-goa     |           0 |     18968
 xdmbgrd                                  |           0 |     18672
 zypper-lifecycle-plugin                  |           0 |     18428
 multipath-tools-rbd                      |           0 |     18352
 zypper-migration-plugin                  |           0 |     18064
 xbacklight                               |           0 |     17918
 xplsprinters                             |           0 |     16894
 mkcomposecache                           |           0 |     16499
 plymouth-dracut                          |           0 |     16381
 numlockx                                 |           0 |     15989
 libKF5ItemViews5-lang                    |           0 |     15982
 pulseaudio-bash-completion               |           0 |     15570
 gdk-pixbuf-thumbnailer                   |           0 |     15557
 openssh-askpass-gnome                    |           0 |     14872
 gstreamer-plugin-cluttergst3             |           0 |     14864
 perl-Devel-LexAlias                      |           0 |     14681
 gtk3-immodule-thai                       |           0 |     14552
 gtk2-immodule-thai                       |           0 |     14544
 x11-tools                                |           0 |     12778
 xsetmode                                 |           0 |     12566
 xprehashprinterlist                      |           0 |     12403
 perl-LWP-Protocol-https                  |           0 |     11673
 pk-update-icon-lang                      |           0 |     11464
 upower-lang                              |           0 |     11299
 remmina-plugin-secret                    |           0 |     11096
 gdk-pixbuf-loader-libopenraw             |           0 |     10760
 libproxy1-networkmanager                 |           0 |     10632
 kirigami2-lang                           |           0 |     10552
 plymouth-plugin-label-ft                 |           0 |     10552
 mpg123-openal                            |           0 |     10512
 mpg123-pulse                             |           0 |     10416
 tlp-rdw                                  |           0 |      9840
 intlfonts                                |           0 |      9798
 gtk2-theming-engine-adwaita-32bit        |           0 |      9704
 terminfo-screen                          |           0 |      8454
 libKF5DNSSD5-lang                        |           0 |      8392
 gtk3-immodule-inuktitut                  |           0 |      8336
 gtk2-immodule-inuktitut                  |           0 |      8328
 gtk3-immodule-vietnamese                 |           0 |      8224
 gtk2-immodule-vietnamese                 |           0 |      8224
 xorg-scripts                             |           0 |      6851
 grub2-systemd-sleep-plugin               |           0 |      6485
 ModemManager-lang                        |           0 |      6344
 gstreamer-plugins-cogl                   |           0 |      6320
 zypper-log                               |           0 |      6241
 samba-client-32bit                       |           0 |      5488
 ModemManager-bash-completion             |           0 |      5389
 ibus-branding-openSUSE-KDE               |           0 |      5269
 terminfo-iterm                           |           0 |      4534
 perl-Net-SMTP-SSL                        |           0 |      4472
 gtk2-data                                |           0 |      3969
 libKF5WindowSystem5-lang                 |           0 |      3964
 gconf2-branding-openSUSE                 |           0 |      3150
 git                                      |           0 |      3001
 mbimcli-bash-completion                  |           0 |      2521
 ft2demos                                 |           0 |      2412
 gnome-themes-accessibility-gtk2          |           0 |      1980
 libxshmfence-devel                       |           0 |      1937
 clutter-gtk-lang                         |           0 |      1888
 lifecycle-data-openSUSE                  |           0 |      1752
 branding-openSUSE                        |           0 |      1623
 plasma5-workspace-branding-openSUSE      |           0 |      1616
 systemd-logger                           |           0 |      1040
 xorg-x11                                 |           0 |       794
 libgdiplus-devel                         |           0 |       617
 parallel-printer-support                 |           0 |       494
 xorg-x11-driver-input                    |           0 |       254
 xorg-x11-devel                           |           0 |       182
 xorg-x11-util-devel                      |           0 |       172
 lsb                                      |           0 |       110
 xdm-xsession                             |           0 |        83
 yast2-branding-openSUSE-Oxygen           |           0 |        76
 system-user-bin                          |           0 |        66
 system-group-wheel                       |           0 |        38
 Mesa-libGLESv2-2                         |           0 |         0
(785 rows)

